PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
201985,AJ Price,26.0,74,185,2009,2013
201166,Aaron Brooks,28.0,72,161,2007,2013
201189,Aaron Gray,28.0,84,270,2007,2013
1733,Al Harrington,33.0,81,245,1998,2013
201143,Al Horford,27.0,82,250,2007,2013
2744,Al Jefferson,28.0,82,289,2004,2013
202329,Al-Farouq Aminu,22.0,81,215,2010,2013
101187,Alan Anderson,30.0,78,220,Undrafted,2013
202692,Alec Burks,21.0,78,202,2011,2013
203144,Alexey Shved,24.0,78,182,Undrafted,2013
202087,Alonzo Gee,26.0,78,219,Undrafted,2013
2405,Amar'e Stoudemire,30.0,83,245,2002,2013
101161,Amir Johnson,26.0,81,210,2005,2013
2760,Anderson Varejao,30.0,83,260,2004,2013
101154,Andray Blatche,26.0,83,260,2005,2013
203083,Andre Drummond,19.0,82,270,2012,2013
2738,Andre Iguodala,29.0,78,207,2004,2013
1889,Andre Miller,37.0,74,200,1999,2013
200745,Andrea Bargnani,27.0,84,256,2006,2013
1905,Andrei Kirilenko,32.0,81,235,1999,2013
101106,Andrew Bogut,28.0,84,260,2005,2013
202726,Andrew Goudelock,24.0,75,200,2011,2013
203094,Andrew Nicholson,23.0,81,250,2012,2013
2740,Andris Biedrins,27.0,84,242,2004,2013
1712,Antawn Jamison,37.0,81,235,1998,2013
203076,Anthony Davis,20.0,82,220,2012,2013
201627,Anthony Morrow,27.0,77,210,Undrafted,2013
201576,Anthony Randolph,23.0,83,225,2008,2013
201229,Anthony Tolliver,28.0,80,240,Undrafted,2013
203102,Arnett Moultrie,22.0,82,245,2012,2013
203382,Aron Baynes,26.0,82,260,Undrafted,2013
201167,Arron Afflalo,27.0,77,215,2007,2013
201948,Austin Daye,25.0,83,200,2009,2013
203085,Austin Rivers,20.0,76,200,2012,2013
202340,Avery Bradley,22.0,74,180,2010,2013
2732,Ben Gordon,30.0,75,200,2004,2013
203162,Ben Hansbrough,25.0,75,203,Undrafted,2013
2757,Beno Udrih,30.0,75,203,2004,2013
203108,Bernard James,28.0,82,240,2012,2013
202687,Bismack Biyombo,20.0,81,245,2011,2013
201933,Blake Griffin,24.0,82,251,2009,2013
2564,Boris Diaw,31.0,80,235,2003,2013
203078,Bradley Beal,20.0,77,207,2012,2013
201148,Brandan Wright,25.0,82,210,2007,2013
101138,Brandon Bass,28.0,80,250,2005,2013
201943,Brandon Jennings,23.0,73,169,2009,2013
202688,Brandon Knight,21.0,75,189,2011,2013
200750,Brandon Roy,28.0,78,211,2006,2013
201575,Brandon Rush,27.0,78,210,2008,2013
2217,Brendan Haywood,33.0,84,263,2001,2013
203148,Brian Roberts,27.0,73,180,Undrafted,2013
201572,Brook Lopez,25.0,84,265,2008,2013
201957,Byron Mullens,24.0,84,275,2009,2013
201228,C.J. Watson,29.0,74,175,Undrafted,2013
101139,CJ Miles,26.0,78,222,2005,2013
201171,Carl Landry,29.0,81,248,2007,2013
2430,Carlos Boozer,31.0,81,266,2002,2013
2568,Carlos Delfino,30.0,78,230,2003,2013
2546,Carmelo Anthony,29.0,80,230,2003,2013
2406,Caron Butler,33.0,79,228,2002,2013
201858,Cartier Martin,28.0,79,220,Undrafted,2013
202718,Chandler Parsons,24.0,81,227,2011,2013
202724,Charles Jenkins,24.0,75,215,2011,2013
101111,Charlie Villanueva,28.0,83,232,2005,2013
201978,Chase Budinger,25.0,79,218,2009,2013
1497,Chauncey Billups,36.0,75,210,1997,2013
2365,Chris Andersen,34.0,82,228,Undrafted,2013
2547,Chris Bosh,29.0,83,235,2003,2013
203142,Chris Copeland,29.0,80,225,Undrafted,2013
201604,Chris Douglas-Roberts,26.0,79,210,2008,2013
2768,Chris Duhon,30.0,73,190,2004,2013
203187,Chris Johnson,23.0,78,201,Undrafted,2013
202419,Chris Johnson,27.0,83,210,Undrafted,2013
2549,Chris Kaman,31.0,84,265,2003,2013
101108,Chris Paul,28.0,72,175,2005,2013
200809,Chris Quinn,29.0,74,175,Undrafted,2013
202698,Chris Singleton,23.0,80,230,2011,2013
2404,Chris Wilcox,30.0,82,235,2002,2013
203203,Chris Wright,23.0,73,210,Undrafted,2013
101236,Chuck Hayes,30.0,78,250,Undrafted,2013
202332,Cole Aldrich,24.0,83,240,2010,2013
201147,Corey Brewer,27.0,81,188,2007,2013
1894,Corey Maggette,33.0,78,225,1999,2013
202809,Cory Higgins,24.0,77,180,Undrafted,2013
202709,Cory Joseph,21.0,75,185,2011,2013
201584,Courtney Lee,27.0,77,200,2008,2013
201571,D.J. Augustin,25.0,72,183,2008,2013
201591,DJ White,26.0,81,250,2008,2013
201969,DaJuan Summers,25.0,80,240,2009,2013
201161,Daequan Cook,26.0,77,210,2007,2013
2563,Dahntay Jones,32.0,78,225,2003,2013
203081,Damian Lillard,22.0,75,195,2012,2013
2863,Damien Wilkins,33.0,78,225,Undrafted,2013
202345,Damion James,25.0,79,225,2010,2013
200789,Daniel Gibson,27.0,74,200,2006,2013
202350,Daniel Orton,22.0,82,255,2010,2013
201568,Danilo Gallinari,24.0,82,225,2008,2013
101122,Danny Granger,30.0,80,228,2005,2013
201980,Danny Green,26.0,78,210,2009,2013
201967,Dante Cunningham,26.0,80,230,2009,2013
203130,Darius Johnson-Odom,23.0,74,215,2012,2013
203121,Darius Miller,23.0,80,235,2012,2013
202721,Darius Morris,22.0,76,190,2011,2013
2545,Darko Milicic,28.0,84,275,2003,2013
201589,Darrell Arthur,25.0,81,235,2008,2013
201954,Darren Collison,25.0,72,175,2009,2013
101135,David Lee,30.0,81,240,2005,2013
2561,David West,32.0,81,250,2003,2013
